log,label
Method getAllAppointments took 3100 ms to complete,PERFORMANCE_WARNING
Validation failed: email must be a well-formed email address,VALIDATION_ERROR
SQL injection pattern detected in request parameter for /api/appointments/{id}/status,SECURITY_ALERT
Failed to parse JWT claims for request to /api/auth/login,AUTHENTICATION_ERROR
Unusual number of admin actions performed by user 60021 in a short period,SECURITY_ALERT
Invalid request body for endpoint /api/auth/register: missing required field 'serviceId',VALIDATION_ERROR
Exception in method: createAppointment | Message: Requested slot is no longer available,APPLICATION_ERROR
Deprecated API version used by client for endpoint /api/services,WARNING
Placeholder log entry 8891 pending removal,UNKNOWN
JWT token missing on protected endpoint /api/auth/login,AUTHENTICATION_ERROR
Query timeout while fetching appointments for user 9002,DATABASE_ERROR
Unable to reach downstream service from 203.0.113.42,NETWORK_ERROR
Failed to connect to PostgreSQL database,DATABASE_ERROR
Possible brute force attack detected against /api/auth/login from 198.51.100.7,SECURITY_ALERT
Unusual number of admin actions performed by user 555 in a short period,SECURITY_ALERT
Uninterpreted binary blob logged at offset 9002,UNKNOWN
Connection reset by peer while streaming websocket data for user 9002,NETWORK_ERROR
Unclassified telemetry ping from unknown source 192.168.1.10,UNKNOWN
Legacy subsystem emitted an unrecognized diagnostic code 60021,UNKNOWN
User 31 attempted to book an already-cancelled appointment,WARNING
Placeholder log entry 8891 pending removal,UNKNOWN
Slow response detected for /api/auth/login: 1500 ms,PERFORMANCE_WARNING
Data truncation: Data too long for column 'notes' at row 1,DATABASE_ERROR
Unable to reach downstream service from 203.0.113.42,NETWORK_ERROR
Appointment 4471 cancelled by user 9002,INFO
Validation failed: password must be at least 8 characters,VALIDATION_ERROR
IllegalStateException: working schedule not initialized for staff 9002,APPLICATION_ERROR
Appointment 4471 cancelled by user 555,INFO
Expired JWT token for user 203,AUTHENTICATION_ERROR
Slow response detected for /api/appointments/{id}/cancel: 120 ms,PERFORMANCE_WARNING
OutOfMemoryError: Java heap space in appointment-service container (attempt 77410),SYSTEM_ERROR
Appointment created successfully for user 12345 with service svc-77,INFO
Appointment created successfully for user 203 with service svc-330,INFO
Connection reset by peer while streaming websocket data for user 9002,NETWORK_ERROR
Thread pool queue depth elevated while processing /api/services requests,PERFORMANCE_WARNING
Legacy subsystem emitted an unrecognized diagnostic code 9002,UNKNOWN
"Docker health check failed for spring-app container, retry 12345",SYSTEM_ERROR
Placeholder log entry 9002 pending removal,UNKNOWN
Table 'appointmentdb.working_schedule' doesn't exist,DATABASE_ERROR
Unclassified telemetry ping from unknown source 192.168.1.10,UNKNOWN
SocketTimeoutException while sending reminder email to admin@system.local,NETWORK_ERROR
Account for user 4471 locked after repeated failed authentication attempts,SECURITY_ALERT
Validation failed: email must be a well-formed email address,VALIDATION_ERROR
Repeated 401 Unauthorized responses from IP 172.17.0.3 within short window,SECURITY_ALERT
"Cache miss for service svc-9 listing, falling back to database",WARNING
Login failed for user admin@system.local: invalid credentials,AUTHENTICATION_ERROR
Appointment created successfully for user 203 with service svc-101,INFO
Validation failed: username already exists,VALIDATION_ERROR
IllegalStateException: working schedule not initialized for staff 31,APPLICATION_ERROR
Invalid request body for endpoint /api/auth/register: missing required field 'serviceId',VALIDATION_ERROR
"Working schedule overlaps detected for staff member 12345, auto-resolved",WARNING
Connection refused while connecting to MySQL at mysql:3306,DATABASE_ERROR
NullPointerException while processing appointment request for user 77410,APPLICATION_ERROR
Deprecated API version used by client for endpoint /api/services,WARNING
SocketTimeoutException while sending reminder email to admin@system.local,NETWORK_ERROR
NullPointerException while processing appointment request for user 203,APPLICATION_ERROR
Login failed for user staff2@clinic.local: invalid credentials,AUTHENTICATION_ERROR
Account for user 555 locked after repeated failed authentication attempts,SECURITY_ALERT
Slow response detected for /api/services: 6100 ms,PERFORMANCE_WARNING
User 60021 does not have permission to access /api/auth/login,AUTHORIZATION_ERROR
Validation failed: password must be at least 8 characters,VALIDATION_ERROR
NullPointerException while processing appointment request for user 12345,APPLICATION_ERROR
Exception in method: createAppointment | Message: Requested slot is no longer available,APPLICATION_ERROR
Failed to parse JWT claims for request to /api/appointments,AUTHENTICATION_ERROR
Failed to serialize response for endpoint /api/admin/schedules,APPLICATION_ERROR
Query timeout while fetching appointments for user 203,DATABASE_ERROR
Unable to reach downstream service from 10.0.0.5,NETWORK_ERROR
JWT signature does not match locally computed signature,AUTHENTICATION_ERROR
Suspicious request payload containing script tags blocked for /api/appointments/{id}/status,SECURITY_ALERT
Failed to connect to PostgreSQL database,DATABASE_ERROR
Rejected request: appointment duration must be positive,VALIDATION_ERROR
org.hibernate.exception.ConstraintViolationException: could not execute statement,DATABASE_ERROR
IllegalStateException: working schedule not initialized for staff 60021,APPLICATION_ERROR
User 77410 registered a new account,INFO
WebSocket connection established for user 77410,INFO
Unhandled RuntimeException in AppointmentService.getAvailableSlots,APPLICATION_ERROR
